-8.72	-39.11	ABARE	BA
-11.66	-38.01	ACAJUTIBA	BA
-10.53	-38.10	ADUSTINA	BA
-11.86	-38.76	AGUAFRIA	BA
-14.12	-39.88	AIQUARA	BA
-12.13	-38.41	ALAGOINHAS	BA
-17.51	-39.19	ALCOBACA	BA
-14.70	-39.63	ALMADINA	BA
-13.03	-39.60	AMARGOSA	BA
-12.39	-38.75	AMELIARODRIGUES	BA
-11.45	-41.43	AMERICADOURADA	BA
-14.61	-41.13	ANAGE	BA
-12.80	-41.33	ANDARAI	BA
-10.34	-39.83	ANDORINHA	BA
-12.00	-44.69	ANGICAL	BA
-12.15	-39.24	ANGUERA	BA
-10.40	-38.33	ANTAS	BA
-12.43	-39.12	ANTONIOCARDOSO	BA
-10.57	-40.27	ANTONIOGONCALVES	BA
-11.66	-38.08	APORA	BA
-13.85	-39.74	APUAREMA	BA
-12.22	-38.20	ARACAS	BA
-14.42	-41.46	ARACATU	BA
-11.33	-38.96	ARACI	BA
-12.08	-38.49	ARAMARI	BA
-15.26	-39.41	ARATACA	BA
-13.07	-39.00	ARATUIPE	BA
-14.31	-39.32	AURELINOLEAL	BA
-12.30	-44.53	BAIANOPOLIS	BA
-11.96	-40.16	BAIXAGRANDE	BA
-10.57	-38.61	BANZAE	BA
-11.08	-43.14	BARRA	BA
-13.62	-41.32	BARRADAESTIVA	BA
-14.88	-40.57	BARRADOCHOCA	BA
-11.81	-42.05	BARRADOMENDES	BA
-14.21	-39.60	BARRADOROCHA	BA
-12.15	-44.99	BARREIRAS	BA
-11.76	-41.91	BARROALTO	BA
-14.81	-39.47	BARROPRETO	BA
-15.86	-38.88	BELMONTE	BA
-15.03	-41.26	BELOCAMPO	BA
-11.61	-38.80	BIRITINGA	BA
-14.36	-40.20	BOANOVA	BA
-12.66	-40.60	BOAVISTADOTUPIM	BA
-13.25	-43.41	BOMJESUSDALAPA	BA
-14.37	-40.50	BOMJESUSDASERRA	BA
-12.70	-41.82	BONINAL	BA
-11.96	-41.26	BONITO	BA
-12.82	-42.73	BOQUIRA	BA
-13.38	-42.52	BOTUPORA	BA
-13.10	-39.79	BREJOES	BA
-12.48	-43.96	BREJOLANDIA	BA
-11.99	-42.62	BROTASDEMACAUBAS	BA
-14.20	-41.66	BRUMADO	BA
-14.95	-39.30	BUERAREMA	BA
-10.70	-43.63	BURITIRAMA	BA
-14.97	-40.40	CAATIBA	BA
-12.53	-39.19	CABACEIRASDOPARAGUACU	BA
-12.61	-38.95	CACHOEIRA	BA
-14.50	-42.22	CACULE	BA
-11.09	-40.43	CAEM	BA
